latitude,longitude,address,floorSize,url,price
39.9899,-105.23801,4490 Osage Dr,2424,https://www.zillow.com/homedetails/4490-Osage-Dr-Boulder-CO-80303/13188935_zpid/,1050000
39.71716,-105.038185,30 N Osceola Street,1463,https://www.zillow.com/homedetails/30-N-Osceola-St-Denver-CO-80219/13340063_zpid/,625000
39.757732,-104.982574,2670 Arapahoe Street,1138,https://www.zillow.com/homedetails/2670-Arapahoe-St-Denver-CO-80205/337664610_zpid/,323000
39.743942,-105.02009,7639 Jackson School Rd,1024,https://www.zillow.com/homedetails/7639-Jackson-School-Rd-Browns-Summit-NC-27214/5977476_zpid/,240000
39.73941,-104.89323,1437 N Uinta Street,1143,https://www.zillow.com/homedetails/1437-N-Uinta-St-Denver-CO-80220/337913144_zpid/,291000
39.770332,-104.737755,3893 Orleans Court,1646,https://www.zillow.com/homedetails/3893-Orleans-Ct-Denver-CO-80249/54891564_zpid/,445000
39.747757,-104.94009,4025 Montview Boulevard,2081,https://www.zillow.com/homedetails/4025-Montview-Blvd-Denver-CO-80207/13286001_zpid/,1099000
39.667923,-104.92193,5601 E Yale Avenue,1430,https://www.zillow.com/homedetails/5601-E-Yale-Ave-Denver-CO-80222/13056247_zpid/,475000
39.786156,-105.02188,4925 Decatur Street,863,https://www.zillow.com/homedetails/4925-Decatur-St-Denver-CO-80221/13292909_zpid/,449900
39.681576,-105.03009,1925 S Irving Street,936,https://www.zillow.com/homedetails/1925-S-Irving-St-Denver-CO-80219/13380024_zpid/,450000
39.65902,-105.04781,3055 S Winona Court,2266,https://www.zillow.com/homedetails/3055-S-Winona-Ct-Denver-CO-80236/13384703_zpid/,535000
39.674435,-104.877464,9400 E Iliff Avenue  Unit 105,2008,https://www.zillow.com/homedetails/9400-E-Iliff-Ave-APT-105-Denver-CO-80231/13055366_zpid/,350000
39.735455,-104.95945,1216 N York Street,2070,https://www.zillow.com/homedetails/1216-York-St-Denver-CO-80206/58295873_zpid/,614900
39.65611,-104.90963,3316 S Newport Street,2968,https://www.zillow.com/homedetails/3316-S-Newport-St-Denver-CO-80224/13416841_zpid/,899900
39.64037,-104.90132,7484 E Princeton Avenue,2148,https://www.zillow.com/homedetails/7484-E-Princeton-Ave-Denver-CO-80237/13424317_zpid/,349900
39.726852,-105.03286,637 Knox Court,1109,https://www.zillow.com/homedetails/637-Knox-Ct-Denver-CO-80204/13340682_zpid/,289000
39.722206,-104.96452,408 N High Street,2232,https://www.zillow.com/homedetails/408-N-High-St-Denver-CO-80218/13345853_zpid/,775000
39.73492,-105.01959,2613 W 12th Avenue,1820,https://www.zillow.com/homedetails/2613-W-12th-Ave-Denver-CO-80204/13336009_zpid/,390000
39.729763,-105.03977,815 Perry Street,945,https://www.zillow.com/homedetails/815-Perry-St-Denver-CO-80204/13337253_zpid/,525000
39.801632,-104.767815,5775 Biscay Street,1401,https://www.zillow.com/homedetails/5775-Biscay-St-Denver-CO-80249/61469268_zpid/,267000
39.76178,-105.017426,2466 W 32nd Avenue,2443,https://www.zillow.com/homedetails/2466-W-32nd-Ave-Denver-CO-80211/13311767_zpid/,849900
39.704517,-104.9678,665 S Gilpin Street,2500,https://www.zillow.com/homedetails/665-S-Gilpin-St-Denver-CO-80209/13353923_zpid/,1349000
39.705994,-104.96847,580 S Franklin Street,6380,https://www.zillow.com/homedetails/580-S-Franklin-St-Denver-CO-80209/13353684_zpid/,6700000
39.81531,-105.02705,3100 W Longfellow Place,1416,https://www.zillow.com/homedetails/3100-W-Longfellow-Pl-Denver-CO-80221/81866118_zpid/,429900
39.68957,-104.8957,1470 S Quebec Way  Unit 27,1670,https://www.zillow.com/homedetails/1470-S-Quebec-Way-APT-27-Denver-CO-80231/13409332_zpid/,277312
39.78351,-104.816734,14750 E 50th Place,2596,https://www.zillow.com/homedetails/14750-E-50th-Pl-Denver-CO-80239/13271908_zpid/,539900
39.771725,-105.052986,3930 Sheridan Boulevard,641,https://www.zillow.com/homedetails/3930-N-Sheridan-Blvd-Denver-CO-80212/13295420_zpid/,400000
39.795692,-105.00987,5463 Shoshone Street,2410,https://www.zillow.com/homedetails/5463-Shoshone-St-Denver-CO-80221/13026665_zpid/,685000
39.732265,-104.95108,3023 E 10th Avenue,973,https://www.zillow.com/homedetails/3023-E-10th-Ave-Denver-CO-80206/2083333547_zpid/,425000
39.705128,-104.96029,624 S York Street,5717,https://www.zillow.com/homedetails/624-S-York-St-Denver-CO-80209/13352690_zpid/,2400000
39.73377,-104.94862,1101 Adams Street,3088,https://www.zillow.com/homedetails/1101-N-Adams-St-Denver-CO-80206/130232828_zpid/,1500000
39.752094,-105.021416,2736 W 24th Avenue,3888,https://www.zillow.com/homedetails/2736-W-24th-Ave-Denver-CO-80211/13315949_zpid/,1700000
39.70496,-104.87682,635 S Clinton Street  Unit 1a,1200,https://www.zillow.com/homedetails/635-S-Clinton-St-APT-1A-Denver-CO-80247/13398684_zpid/,260000
39.739265,-104.93695,1450 Bellaire Street,2014,https://www.zillow.com/homedetails/1450-Bellaire-St-Denver-CO-80220/13392739_zpid/,750000
39.70582,-104.95118,27 Polo Club Circle,7283,https://www.zillow.com/homedetails/27-Polo-Club-Cir-Denver-CO-80209/13350771_zpid/,7950000
39.687386,-104.97739,824 E Iowa Avenue,1470,https://www.zillow.com/homedetails/824-E-Iowa-Ave-Denver-CO-80210/13369567_zpid/,699000
39.728104,-104.955246,740 Clayton Street,3232,https://www.zillow.com/homedetails/740-Clayton-St-Denver-CO-80206/13328039_zpid/,850000
39.667755,-104.95708,2455 E Yale Avenue,2290,https://www.zillow.com/homedetails/2455-E-Yale-Ave-Denver-CO-80210/13375086_zpid/,600000
39.649822,-104.92852,3719 S Glencoe Street,4104,https://www.zillow.com/homedetails/3719-S-Glencoe-St-Denver-CO-80237/13425761_zpid/,1495000
39.739525,-104.88784,1444 Willow Street,1100,https://www.zillow.com/homedetails/1444-Willow-St-Denver-CO-80220/13388591_zpid/,425000
39.694626,-104.89334,1300 S Parker Road  Unit 301,625,https://www.zillow.com/homedetails/1300-S-Parker-Rd-APT-301-Denver-CO-80231/13045137_zpid/,50000
39.67959,-104.96966,2036 S Humboldt Street,2355,https://www.zillow.com/homedetails/2036-S-Humboldt-St-Denver-CO-80210/13375923_zpid/,1059000
